,,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10,User 11,User 12,User 13,User 14,User 15,User 16,User 17,User 18,User 19,User 20,User 21,User 22,User 23,User 24,User 25,User 26,User 27,User 28,User 29,User 30,User 31,User 32,User 33,User 34,User 35,User 36,User 37,User 38,User 39,User 40,User 41,User 42,User 43,User 44,User 0,,,,,,,,,,,,,,,,,,,,,,
,Helpful Experience,nada,nada,nada,nada,nada,nada,nada,4 years working with RBE in general,nada,nada,nada,nada,nada,nada,Nothing else in my background that I feel is relevant,My experience with user studies and VR/AR development for robotic applications might have helped me.,User: None,nada,No,"I took swarm intelligence (RBE 595) with Prof. Pinciroli, so I think my ability to understand and analyze swarm behaviors is greater than the average individual's.",I was a Graduate Research Assistant at HiRo Lab at WPI for two years focused on HRIe,I have played a lot of FPS games & have played in a lot of team sport which helps here as I have to constantly look for ally team in the whole game.,"The fact I've watched a lot of foraging simulations might help, although I was modeling stigmergy, which is not modeled in this simulation.",extensive use of Argos/swarm robotics familiarity with research thrusts. ,Worked with the code base,I've done a semsester of undergrad research on swarm robots,nada,User: None,Previous exposure to swarm robotics,"I worked with Cameron in an AI class. We worked to implement a system for anomaly detection in Boid swarms, which seems like a similar problem to this. Whether or not that makes me more qualified to pick out faults I do not know.",I did 5 years worth of FIRST robotics,"I have some minor experience with robots, but said experience is small and was several years ago.",No,Nothing,nada,Nothing in particular,nada,No,nada,Not that I can think of,nada,I specialize in Swarm Intelligence and have on experience with the simulation software used.,nada,nada,"Robotic Experience, 3.5 years",,,,,,,,,,,,,,,,,,,,,,
,Have Harmful Experience?,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,nada,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,nada,,,,,,,,,,,,,,,,,,,,,,
,Harmful Experience,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,User: None,nada,nada,nada,nada,nada,nada,Larger screen used.,poor screen resolution on 64 test (my computer is old),nada,nada,nada,nada,nada,nada,nada,no,Nothing,"I can't think of anything that would specifically hurt my performance in this
task. I understand that this task is pretty different to what I'm used to seeing
out of robotics, because its more of a birds-eye view kind of thing.",Nothing in particular,nada,No,nada,Not that I can think of,nada,nada,nada,nada,nada,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Questionnaire,Mental Demand w/ swarm feedback,5,3,4,2,4,5,3,4,5,4,4,5,5,4,3,3,2,4,3,3,4,3,4,3,3,5,2,3,5,3,3,2,2,2,4,3,3,3,4,1,4,4,2,3,5,,,,,,,,,,,,,,,,,,,,,,
,Mental Demand w/out swarm feedback,4,1,4,2,4,4,3,3,4,3,2,3,5,4,3,4,3,4,3,2,5,4,2,3,4,5,3,3,4,5,5,3,3,5,4,5,4,3,4,2,5,5,3,3,2,,,,,,,,,,,,,,,,,,,,,,
,(optional) comment on Mental Demand,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,"slightly higher with swarm feedback, because I had to further evaluate if it was valid or not (the feedback was categorically unhelpful).",nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,,,,,,,,,
,Physical Demand w/ swarm feedback,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,3,1,2,1,1,2,2,1,1,1,1,2,1,nada,,,,,,,,,,,,,,,,,,,,,,
,Physical Demand w/out swarm feedback,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,3,1,5,1,1,4,4,1,1,1,1,3,1,nada,,,,,,,,,,,,,,,,,,,,,,
,(optional) comment on Physical Demand,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,I did stop for cofee halfway through,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,,,,,,,,,
,Temporal Demand w/ swarm feedback,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,1,1,2,5,2,2,3,2,1,2,3,3,3,3,4,3,2,2,4,3,2,4,4,1,2,2,1,3,3,2,nada,,,,,,,,,,,,,,,,,,,,,,
,Temporal Demand w/out swarm feedback,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,1,1,3,5,2,2,5,3,1,2,3,4,3,3,5,3,5,3,4,5,2,3,4,2,2,2,1,5,4,2,nada,,,,,,,,,,,,,,,,,,,,,,
,(optional) comment on Temporal Demand,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,There wasn't a timer to find faults (no difference),nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,,,,,,,,,,,,,,,,,,,
,Performance w/ swarm feedback,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,4,4,3,3,4,2,3,4,3,3,4,2,3,3,3,3,4,4,3,3,4,2,4,3,2,3,3,3,4,3,nada,,,,,,,,,,,,,,,,,,,,,,
,Performance w/out swarm feedback,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,4,3,3,3,4,2,2,3,4,3,2,2,2,3,2,4,1,3,3,3,4,4,3,3,2,3,2,1,3,3,nada,,,,,,,,,,,,,,,,,,,,,,
,(optional) comment on Performance,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,I felt like evaluating the accuracy of feedback detracted from my task,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,,,,,,,,,,,,,,,,,
,Effort w/ swarm feedback,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,2,2,4,5,3,3,4,3,4,4,2,5,3,4,4,3,3,3,3,3,4,4,3,4,3,2,4,4,2,3,nada,,,,,,,,,,,,,,,,,,,,,,
,Effort w/out swarm feedback,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,2,4,4,5,3,3,5,3,3,4,5,5,4,3,5,5,5,3,3,3,4,3,3,3,3,2,5,4,3,3,nada,,,,,,,,,,,,,,,,,,,,,,
,(optional) comment on Effort,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,"Again, looking at the feedback was extra overhead",nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,,,,,,,,,,,,
,Frustration w/ swarm feedback,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,2,1,4,4,1,1,3,3,3,5,1,3,4,3,3,3,2,1,2,2,1,3,3,4,4,1,3,3,1,2,nada,,,,,,,,,,,,,,,,,,,,,,
,Frustration w/out swarm feedback,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,1,1,3,3,1,1,4,5,2,5,2,3,5,3,5,4,4,1,3,5,1,2,4,3,4,1,4,4,1,2,nada,,,,,,,,,,,,,,,,,,,,,,
,(optional) comment on Frustration,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Usefulness of Swarm Feedback,2,2,1,1,1,2,2,2,2,3,3,3,1,1,1,3,2,1,1,3,4,5,1,2,3,1,5,3,3,3,4,3,2,3,1,3,3,2,1,1,2,2,4,1,3,,,,,,,,,,,,,,,,,,,,,,
,(Optional) Comment on Usefulness of Feedback, nada, nada, nada, nada, nada, nada, nada, nada, nada, nada, nada, nada, nada, nada, nada, nada, nada, nada, nada, nada, nada, nada," (from another section), categorically unhelpful",often pointed in that direction than reading false pos or fault,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,,,,,,,,,
,Ease to understand Swarm Feedback,2,3,1,1,3,3,4,4,4,4,4,4,3,2,1,4,3,1,5,5,3,5,4,2,5,3,5,3,4,3,2,4,3,5,2,5,4,4,4,5,4,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,
,(Optional) Comment on Clarity of Feedback,nada,"(User wrote ""5~4"" after the 3)",nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,It was just comparing movement to the average,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,,,,,,,,,,,
,Trust of Swarm Feedback,1,2,2,1,1,2,1,2,2,2,2,3,1,1,1,2,1.5,1,1,1,nada,3,1,1,2,1,3,2,3,3,3,3,2,3,2,2,2,2,1,2,3,1,4,1,3,,,,,,,,,,,,,,,,,,,,,,
,(Optional) Comment on Trust of Feedback,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,"(technically 1/2 (1 dash 2, as in one or 2, I'm assuming not half) nada",nada,nada,nada,nada,nada,"It seemed to have many, many, false positives and few false negatives",nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,nada,,,,,,,,,,,,,,
,Difficulty finding faulty robots,4,3,3,4,5,5,3,4,4,4,4,4,5,4,2,2,3,4,3,4,4,3,3,5,4,5,4,3,5,3,5,4,4,4,3,5,4,3,4,3,4,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,
,Free response on difficulty:,Robots would crash at location they were supposed to stop,Because the fault behavior in moving is detectable while sensor fault harder for me to find.,No understanding of what looks abnormal,Difficulty of finding faulty robots: A 4 because the robot behavior and clumping within the simmulation made it very difficult to identify what each robot was doing and why.,Very difficult if real fault or just bad behavior,"Hard to keep track due to high # and many ""false"" positives",The broken proximity sensors where the robot spun in a circle in open space was relatively easy to find. But deducing if a robot was stuck on wall or faulty was harder,It was hard to tell if behavior was faulty or just not reacting  to proximity quickly.,"It was difficult to find faulty robots because of the amount of robots I had to check. Additionally, I felt the only way I could confirm a faulty robot was by observing it in free space away from other robots. This would reduce my ability to scan the swarm because I had to focus on one. While the swarm feedback helped me switch my focus, I did not generally trust the swarm's opinion.",The wheel failure was easy to spot but I was unclear about the proximity failure. The robots had very similar behavior when they were just parallel to a wall and I would keep an eye on them and miss other problems.,"Many robots, their interactions slow them down -> hard to discern",Size of the robots and largen (enlargen?),"It was easier to find the wheel fault but I really couldn't see the proximity fault, the velocities were too hard to compare",nada,"I held onto a lot of skepticism when trying to ID a faulty robot - if one was slowing down or squirrely, but near a wallor other robots, it seemed only to be a matter of time before it wriggled free and found a straight line to travel again. I solated robots behaving abnormally were easy to spot; clusters of robots would obscure any abnormal behavior. but if one continued having problems navigating by the time the others left, it stood out - as I perceived them, faults were fairly infrequent.",I rated difficulty of identifying faulty robots with feedback 2 because even if I didn't trust the notification I knew the robot could be a potential candidate for failure and it being in a different color helps me place my attention there.,Too many robots to track,"Finding faulty robots was difficult because incorrect behavior is similar to correct behavior near other robots. I ended up ignoring clumps of robots and looking for faults in robots not near other robots, as the difference between incorrect behavior and ideal behavior  whiel alone was noticable. The small swarm was easier to deal with, as clumps of robots were smaller and more transient. Swarm feedback was not at all helpful. Oftentimes it owuld flag robots slowing near walls, but miss robots acting strangely in the open.",Hard to find faults in large clusers but not bad elsewhere,"Robots spent large portions of the experiments in corners, along walls, and bunched up with other robots. During these periods, faulty robots behave very similarly, if not identically, to normal robots. It is only during the relatively uncommon moments when robots are isolated that the observer can clearly differentiate between faulty and normal behaviors. It seems the robots in the swarm suffered from this issue just as I did; the swarm identified many false positive faults when robots were bunched up or in corners.","The robots’ behaviors were dynamic and unpredictable. It was rather difficult to focus on individual robot behaviors since many robots were present and moving around. It often seemed like behaviors may have been faulty; however, they were not. It was easy to identify wheel problems, but proximity sensor problems were not as obvious. Robot behavior was often manipulated by other robot behaviors, such as robots hitting walls not due to the fault of their own sensors, but due to the presence of other robots. In this case, context is important but is difficult to derive due to so many things happening at once",[I put a 3] because I found faults or I think I did.,"I found it easy to spot slow robots and ones traveling in a circular path, but I may have missed faults at the food source (e.g., related to responding to food) because of how much crowding there was",Often the robots did not have faults or difficult to understand orientation of the robots indicating a fault,Finding faulty robots required watching a possibly faulty robot until it encountered a situation in which the fault presented itself. This could take awhile and signs were sometimes small or situations in which the fault is noticeable were rare. Faults with proximity is a good example.,Too many targets to track. Difficult to distinguish between normal and abnormal behaviors.,"For larger swarms, it was much more difficult and required a lot of attention to detail",4 (Might have been a mistake),Lots of robots -> hard to focus,"With the provided feedback the difficulty was significantly lowered, it became an issue of weeding out the false negatives [he probably meant positives]. Without the feedback it felt like finding a needle in a haystack. Especially with the larger swarm there were so many it was difficult to find issues.","It was hard to keep track of all of them, and I couldn't always be sure if there was an issue.","The main thing is that a robot can appear to be faulty for a short period of time due to its surrounding environment. This is especially problematic in the larger groups of robots, as not only did they have more obstacles, but there were more to keep track of.",Lots of robots to see at the same time.,For large herds it was difficult to keep track,It didn't feel super difficult to find faulty robots as long as I gave them time to show me that they were faulty.,Not being sure if its a prox sensor fault or just them trying to figure it out,It was easy to find robots having fault in wheels but difficult to find proximity sensor faults. As it required to have keen observation a single robot as you need to look for others too. Feedback was helpful for having quick glance effectively,there were many robots and focusing on all of them for finding a faulty one was a challenge,Too much going on,The 64 robots were a little harder to figure out particularly in case of prox sensor issue,"It's difficult to identify faulty robots when there are many of them need to be checked constantly. Also, many motion that seems to be faulty is actually caused by collision checker. I have to pay attention to the robots for a while to make a decision.","The proximity sensor degredation was a timed fault. If I didn't catch it while the robot was in the center, I couldn't catch it while the robot was in a cluster or on the edge of the map. Since I can only judge based on reaction, I had to keep my focus on one or two robots at once, leaving the rest of the robots time to hide their faults by sitting in a cluster.","The larger the task space, the more to keep up with","I found myself falling into searching patterns for the expected faults. If the robots were too crowded together in any one place. I gave up looking at those. I think this made me miss out on a few faults in those areas, but I'm confident that i was able to catch a lot of the stragglers",Difficult ot focus on a single bot between timesteps,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anything to improve user interface?,"1. Countdown of stopage time at 'food',  2. Range of 'vision', 3. Food color NOT black","Yes, change the green or black ring with blue",LESS Robots! Also a shadow/fade to show where they were,"Show the direction the robot is trying to drive or some flagging when a robot is doing something outside its preferred behavior (Green means straight, orange means turning to avoid something)",Colors more obvious and maybe a notice about where trying to go.,Somehow interpreting the error when a robot is marked as red,Have beacon robot change color (purple) to highlight if its working & if the rest of the robots are getting food @(?) and leaving,"Maybe change shapes to triangles for orientation, make red/green/black more pronounced and make things react faster or increase frame rate","The 3D view made it hard to observe robots near the wall. A pure top level view would be better. The red and magenta colors were hard to see sometimes. May be different colors would stand out better. Shaking was used as a cue for faulty robots, but sometimes it was just the name-tag of the robot shaking, not the actual robot. So a smoother motion of the tag to match the robot would be helpful. A seperate window that listed the suspicious members would be cool.",It would be nice if the fault detection was more reliable. Specifically it would be helpful if the robots stayed red after suspecting itself as faulty for awhile.,Highlight AND GUI text popoup of detectied fault/consensus,"Clearer UI for feedback, popup system? Less pixelation for better visibility",Making the feedback colors more prominant,"Make swarm feedback more visible, it didn't draw my attention.","The black boarder at the bottom of the environment sometimes obscures robots near the bottom wall. Alsok in experiments with many robots, they do get quite small - the yellow arrows on the robots that indicate which direction they're traveling require a little more scrutiny to tell if the behavior is off, and the swarm feedback color stands out a little less.","As for suggestions for the interface I wonder if in addition to seems estimate of a robot (failed/not failed) having a estimation of the swarms confidence could help the user focus attention appropriately. For example, if two robots are rated faulty but one with 50% and the other with 90T chance I might be more inclined to focus on the robot with a higher possibility of being faulty.",More GUI based,"One interface change that would have let me catch more faults is a LED that indicates the mode that the robot is in. It's hard to tell if a robot in a horde of robots is really ramming the others or just trying to wiggle to escape. If there were an indicator that said whether the robot was in collision-avoidance mode or straight line mode, catching faults in clumps of robots would be easier.","Larger color difference for feedback, instead of circle just recolor entire robot?",Users should be able to click on a robot to identify it as faulty.,"Increase the resolution of the swarm feedback method, as it was rather difficult to see. Consider employing other HRI methods, such as more prominent highlighting or text-based features to assist the supervisor. Adjust the viewing angle, as the inability to view the entirety of the bottom-most wall threw off my depth perception. As a result, I assumed some robots were suffering from proximity sensor problems; however, they had not come close to the wall. It might be worth considering the removal of shadows from the environment as they occlude one’s view. Switching to a 2D viewing angle (bird’s eye) could be considered if 3D is not important",Decrease the nubmer of Bots by 1/4 or 1/3.,"Frame/cage obscured view of wall, ""ep"" label cluttered view of IDs, icons were very small (especially on the 64-size), so a little hard to see orientation arrows and color rings, 3D is entirely unnecessary (just show top-down).",More forms of swarm feedback or additional diagnostics displayed for robots estimated to be faulty for finer detection.. Overlay opaque circles on top w/ vertical view,Possibly have multiple LED indicators to show the history of what the swarm thought of the robot.,Better visual representation whether food is carried. Right now there's no way to tell if beacon conference is working.,"Increase visibility -> I could not see the bottom of the platform very well. Illustrate the ""reach of the beacon signal",nada,Bigger circles; more accurate predictions,"The colors were a little confusing, I kept forgetting the meaning of black vs red., and it was not immediately clear with the colors chosen.","It would help if the robots were a little larger to make it easier to observe their movements, hard to distinguish faulty robots when the patters weren't clear. The swarm feedback was also confusing at times.",Different color for either the food or the ids of the robots. Could maybe also have the ids be inside the robot so it's easier to differentiate between overlapping robots. Also removing the black border or adjusting the bottom wall to prevent the robots from being obscured.,Make the feedback of swarm robots more accurate. Maybe reinforcement learning?,The robot can be made a bit larger if possible,"I would like to see what mode the robot thinks it is in currently, maybe even more than I would like to see what the rest of the swarm thinks. If I can see a robot that is driving into a wall, and I can see that the prox sensor hasn't been triggered, I feel like that would be more effective than looking to see its behavior over time. And vice versa - if the robot thinks it's near something, but there's nothing nearby, that would make it easier to determine that there is a problem.",Feedback colors more prominent,"Rather than pausing the video for every note/fault record, a simple UI by just clicking on robot & select fault category will help.",The size of the robots and clear visibility,nada,Larger visualization,"The interface itself for this task is fine. I think the most helpful improvement is not on the interface,
but the collision checker. The motion of the robots when near obstacles is sometimes unclear
and confusing.","For imporving, I think it would help just to give an alert as to what the swarm thinks the fault is. A different color for wheels and prox.",Need for a larger robot diameter,1) It would be nice if the names of the robots didn't wiggle as they moved (gave false impressions of broken proximity sensors). 2) A second state indicator other than color. 3) Keeping the arena from obscuring the field.,"more bright LEDs, changing the food position, iteratively",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
